Frequency,Magnitude
1487.14,30966.248520
1488.48,30914.788226
1489.83,30949.126379
1491.17,30819.946747
1492.52,30831.504020
1493.87,30777.605350
1495.21,30812.106171
1496.56,30755.437062
1497.90,30735.258048
1499.25,30619.406455
1500.60,30624.816754
1501.94,30607.038856
1503.29,30627.629637
1504.63,30504.236524
1505.98,30463.192993
1507.32,30388.118184
1508.67,30434.557050
1510.02,30400.386189
1511.36,30404.975570
1512.71,30324.137567
1514.05,30245.673494
1515.40,30247.016630
1516.74,30252.727458
1518.09,30246.744965
1519.44,30165.746127
1520.78,30146.710302
1522.13,30165.030710
1523.47,30086.985689
1524.82,30121.598212
1526.17,30168.230415
1527.51,30104.292561
1528.86,30121.252845
1530.20,30071.440542
1531.55,30108.040806
1532.89,30106.886274
1534.24,30118.035387
1535.59,30185.867864
1536.93,30022.143147
1538.28,30074.848310
1539.62,30024.280621
1540.97,30032.464953
1542.32,30035.388714
1543.66,30031.326239
1545.01,30041.055576
1546.35,29973.409242
1547.70,29974.392805
1549.04,29967.081931
1550.39,29930.786392
1551.74,29873.774466
1553.08,29863.277260
1554.43,29795.476229
1555.77,29807.834232
1557.12,29743.109228
1558.47,29619.364927
1559.81,29642.743645
1561.16,29630.205835
1562.50,29645.564988
1563.85,29549.573490
1565.19,29480.724152
1566.54,29494.938913
1567.89,29415.093432
1569.23,29397.177429
1570.58,29265.894432
1571.92,29306.427369
1573.27,29216.537210
1574.62,29158.022615
1575.96,29157.205996
1577.31,29181.831997
1578.65,29073.419508
1580.00,29149.823594
1581.34,29052.995216
1582.69,29082.945209
1584.04,28988.567546
1585.38,29075.576488
1586.73,29000.141933
1588.07,29020.886201
1589.42,29052.139427
1590.77,28992.380970
1592.11,29027.866568
1593.46,28987.177520
1594.80,28985.673002
1596.15,29012.156648
1597.49,29013.149016
1598.84,28984.118075
1600.19,28990.332641
1601.53,28964.156999
1602.88,28941.335306
1604.22,28887.761428
1605.57,28990.098012
1606.92,28906.899337
1608.26,28897.122783
1609.61,28943.714945
1610.95,28855.428766
1612.30,28804.928805
1613.64,28831.210715
1614.99,28786.493116
1616.34,28739.552607
1617.68,28713.945052
1619.03,28691.384222
1620.37,28660.193906
1621.72,28551.806244
1623.07,28595.929834
1624.41,28552.088635
1625.76,28442.823846
1627.10,28502.222466
1628.45,28456.738287
1629.79,28379.182328
1631.14,28398.264944
1632.49,28361.111288
1633.83,28299.479966
1635.18,28297.154692
1636.52,28250.117113
1637.87,28309.675549
1639.22,28197.076754
1640.56,28218.351539
1641.91,28179.844808
1643.25,28116.599267
1644.60,28156.865349
1645.94,28111.585797
1647.29,28102.332368
1648.64,28063.853299
1649.98,28100.343583
1651.33,28031.324603
1652.67,28023.783021
1654.02,28003.148863
1655.36,28010.281033
1656.71,27925.593679
1658.06,27965.765070
1659.40,27891.540478
1660.75,27958.166543
1662.09,27940.050301
1663.44,27906.041971
1664.79,27924.954142
1666.13,27861.932663
1667.48,27829.236440
1668.82,27736.504155
1670.17,27754.324369
1671.51,27694.730884
1672.86,27778.596270
1674.21,27722.577873
1675.55,27657.744935
1676.90,27682.458705
1678.24,27661.835832
1679.59,27632.141451
1680.94,27528.401401
1682.28,27525.246805
1683.63,27545.071410
1684.97,27474.888581
1686.32,27452.302517
1687.66,27502.254126
1689.01,27469.967525
